bin,n,mean_posterior,observed_stress_rate
"(-0.001, 0.1]",10328,0.01741369406262438,0.017621998450813324
"(0.1, 0.2]",796,0.14217065139586085,0.13693467336683418
"(0.2, 0.3]",441,0.24699776829903017,0.24263038548752835
"(0.3, 0.4]",270,0.3450347122729298,0.3888888888888889
"(0.4, 0.5]",229,0.4490491677051624,0.4890829694323144
"(0.5, 0.6]",218,0.5485710430874148,0.5825688073394495
"(0.6, 0.7]",192,0.6518752444595199,0.609375
"(0.7, 0.8]",241,0.7471256102949749,0.7219917012448133
"(0.8, 0.9]",346,0.854621863653142,0.869942196531792
"(0.9, 1.0]",2539,0.9836929318740666,0.9838519102008665
